Reactor-length Experimental-results Non-adiabatic-reflective-wall Adiabatic-reflective-wall
cm C C C
0 23.75 22.95 29.95
0.069 23.85 23.05 30.35
0.138 23.95 23.15 30.75
0.207 24.15 23.25 31.15
0.276 24.25 23.35 31.55
0.345 24.35 23.45 32.05
0.414 24.45 23.45 32.55
0.483 24.55 23.55 32.95
0.552 24.65 23.65 33.45
0.621 24.75 23.75 33.95
0.69 24.85 23.75 34.45
0.759 24.95 23.85 34.95
0.828 24.95 23.85 35.55
0.897 25.05 23.95 36.05
0.966 25.15 23.95 36.55
1.035 25.15 24.05 37.15
1.104 25.25 24.05 37.65
1.173 25.35 24.15 38.25
1.242 25.35 24.15 38.75
1.311 25.45 24.25 39.35
1.38 25.45 24.25 39.95
1.449 25.55 24.35 40.55
1.518 25.55 24.35 41.15
1.587 25.65 24.35 41.75
1.656 25.75 24.45 42.45
1.725 25.75 24.45 43.05
1.794 25.85 24.55 43.75
1.863 25.85 24.55 44.35
1.932 25.95 24.65 45.05
2.001 26.05 24.65 45.75
2.07 26.05 24.75 46.45
2.139 26.15 24.75 47.25
2.208 26.15 24.85 47.95
2.277 26.25 24.85 48.65
2.346 26.35 24.85 49.45
2.415 26.35 24.95 50.25
2.484 26.45 24.95 51.05
2.553 26.55 25.05 51.85
2.622 26.55 25.05 52.65
2.691 26.65 25.15 53.45
2.76 26.75 25.25 54.35
2.829 26.75 25.25 55.25
2.898 26.85 25.35 56.15
2.967 26.95 25.35 56.95
3.036 27.05 25.45 57.95
3.105 27.05 25.45 58.85
3.174 27.15 25.55 59.85
3.243 27.25 25.65 60.85
3.312 27.35 25.65 61.75
3.381 27.35 25.75 62.85
3.45 27.45 25.75 63.85
3.519 27.55 25.85 64.85
3.588 27.65 25.95 65.95
3.657 27.75 25.95 67.05
3.726 27.85 26.05 68.15
3.795 27.95 26.15 69.25
3.864 28.05 26.25 70.35
3.933 28.15 26.25 71.55
4.002 28.15 26.35 72.75
4.071 28.25 26.45 73.95
4.14 28.35 26.45 75.15
4.209 28.45 26.55 76.45
4.278 28.55 26.65 77.75
4.347 28.75 26.75 79.05
4.416 28.85 26.85 80.35
4.485 28.95 26.95 81.75
4.554 29.05 26.95 83.15
4.623 29.15 27.05 84.55
4.692 29.25 27.15 85.95
4.761 29.35 27.25 87.35
4.83 29.45 27.35 88.85
4.899 29.65 27.45 90.35
4.968 29.75 27.55 91.85
5.037 29.85 27.65 93.45
5.106 29.95 27.75 95.05
5.175 30.15 27.85 96.75
5.244 30.25 27.95 98.35
5.313 30.35 28.05 100.05
5.382 30.55 28.15 101.75
5.451 30.65 28.25 103.55
5.52 30.75 28.35 105.25
5.589 30.95 28.45 107.05
5.658 31.05 28.55 108.95
