Reactor diameter	Non adiabatic radiation not entrapped	Adiabatic radiation entrapped
mm	C	C
0	191.138269	610.497705
0.020202	210.003656	610.496057
0.040404	228.995172	610.505945
0.060606	248.052881	610.522607
0.080808	267.209741	610.546045
0.10101	286.472803	610.575586
0.121212	305.933008	610.614526
0.141414	325.440393	610.661035
0.161616	344.542322	610.712854
0.181818	364.034387	610.766077
0.20202	382.83877	610.837854
0.222222	401.434473	610.914697
0.242424	418.924707	611.001123
0.262626	435.302332	611.098962
0.282828	449.628931	611.21145
0.30303	462.823389	611.334131
0.323232	474.550867	611.473718
0.343434	485.063379	611.628503
0.363636	494.756006	611.794824
0.383838	503.831201	611.970605
0.40404	512.152246	612.164758
0.424242	520.296411	612.362634
0.444444	527.98208	612.577539
0.464646	535.31521	612.80282
0.484848	542.711816	613.036157
0.50505	549.837976	613.283716
0.525252	557.030725	613.54989
0.545454	563.934961	613.820215
0.565656	570.948816	614.114526
0.585858	578.052759	614.430078
0.60606	584.988794	614.761072
0.626262	591.590356	615.100977
0.646464	596.756494	615.400659
0.666666	599.268945	615.57168
0.686867999999999	599.717981	615.643945
0.70707	599.596765	615.645044
0.727271999999999	599.628259	615.642725
0.747473999999999	599.816431	615.64187
0.767675999999999	600.161218	615.646021
0.787878	600.502893	615.645898
0.80808	600.818445	615.639978
0.828282	601.15542	615.637842
0.848484	601.413171	615.626978
0.868686	601.581445	615.610742
0.888888	601.701318	615.592004
0.90909	601.820398	615.574426
0.929292	601.842004	615.551355
0.949494	601.860742	615.529504
0.969696	601.876367	615.511682
0.989898	601.790186	615.485742
1.0101	601.761194	615.469446
1.030302	601.594934	615.442651
1.050504	601.47439	615.421411
1.070706	601.347437	615.400171
1.090908	601.128748	615.372888
1.11111	600.868066	615.347925
1.131312	600.610986	615.320825
1.151514	600.341821	615.30105
1.171716	600.000269	615.275903
1.191918	599.585168	615.244531
1.21212	599.167566	615.213403
1.232322	598.480127	615.16604
1.252524	597.790918	615.120264
1.272726	596.850244	615.059351
1.292928	595.555322	614.974634
1.31313	593.843652	614.865137
1.333332	591.738	614.731714
1.353534	588.936975	614.559045
1.373736	585.595972	614.358667
1.393938	581.968103	614.142603
1.41414	577.938501	613.907861
1.434342	573.410303	613.655359
1.454544	569.060632	613.408594
1.474746	564.377222	613.150659
1.494948	559.455652	612.889734
1.51515	554.642969	612.634546
1.535352	549.758508	612.378442
1.555554	543.878931	612.11178
1.575756	538.326807	611.857813
1.595958	532.589319	611.60708
1.61616	525.910486	611.358362
1.636362	517.942407	611.114404
1.656564	509.37832	610.88125
1.676766	499.661279	610.659998
1.696968	488.205957	610.453638
1.71717	474.910852	610.266382
1.737372	459.90072	610.099695
1.757574	442.932336	609.95144
1.777776	424.1578	609.822168
1.797978	404.741479	609.708887
1.81818	384.30874	609.60885
1.838382	363.543115	609.530847
1.858584	342.258813	609.462305
1.878786	321.520776	609.39895
1.898988	300.595605	609.350366
1.91919	279.655237	609.31167
1.939392	258.800317	609.282373
1.959594	238.006738	609.261865
1.979796	217.235254	609.249353
1.999998	196.754633	609.244043
