Reactor-length Experimental-model Ethylene-mass-fraction-adiabatic-reflected-radiation Ethylene-mass-fraction-adiabatic-reflected-radiation-recycle
cm 
0 0.01117 0.01117 0.01681
0.069 0.01117 0.01117 0.01681
0.138 0.01117 0.01117 0.01681
0.207 0.01117 0.01117 0.01681
0.276 0.01117 0.01117 0.01681
0.345 0.01117 0.01117 0.01681
0.414 0.01117 0.01117 0.01681
0.483 0.01117 0.01117 0.01681
0.552 0.01117 0.01117 0.01681
0.621 0.01117 0.01117 0.01681
0.69 0.01117 0.01117 0.01681
0.759 0.01117 0.01117 0.01681
0.828 0.01117 0.01117 0.01681
0.897 0.01117 0.01117 0.01681
0.966 0.01117 0.01117 0.01681
1.035 0.01117 0.01117 0.01681
1.104 0.01117 0.01117 0.01681
1.173 0.01117 0.01117 0.01681
1.242 0.01117 0.01117 0.01681
1.311 0.01117 0.01117 0.01681
1.38 0.01117 0.01117 0.01681
1.449 0.01117 0.01117 0.01681
1.518 0.01117 0.01117 0.01681
1.587 0.01117 0.01117 0.01681
1.656 0.01117 0.01117 0.01681
1.725 0.01117 0.01117 0.01681
1.794 0.01117 0.01117 0.01681
1.863 0.01117 0.01117 0.01681
1.932 0.01117 0.01117 0.01681
2.001 0.01117 0.01117 0.01681
2.07 0.01117 0.01117 0.01681
2.139 0.01117 0.01117 0.01682
2.208 0.01117 0.01117 0.01682
2.277 0.01117 0.01117 0.01682
2.346 0.01117 0.01117 0.01682
2.415 0.01117 0.01117 0.01682
2.484 0.01117 0.01117 0.01682
2.553 0.01117 0.01117 0.01682
2.622 0.01117 0.01117 0.01682
2.691 0.01117 0.01117 0.01682
2.76 0.01117 0.01117 0.01682
2.829 0.01117 0.01117 0.01682
2.898 0.01117 0.01117 0.01682
2.967 0.01117 0.01117 0.01682
3.036 0.01117 0.01117 0.01682
3.105 0.01117 0.01117 0.01682
3.174 0.01117 0.01117 0.01682
3.243 0.01117 0.01117 0.01682
3.312 0.01117 0.01117 0.01682
3.381 0.01117 0.01118 0.01682
3.45 0.01117 0.01118 0.01682
3.519 0.01117 0.01118 0.01682
3.588 0.01117 0.01118 0.01682
3.657 0.01117 0.01118 0.01682
3.726 0.01117 0.01118 0.01682
3.795 0.01117 0.01118 0.01682
3.864 0.01117 0.01118 0.01683
3.933 0.01117 0.01118 0.01683
4.002 0.01117 0.01118 0.01683
4.071 0.01117 0.01118 0.01683
4.14 0.01117 0.01118 0.01683
4.209 0.01117 0.01118 0.01683
4.278 0.01117 0.01118 0.01683
4.347 0.01117 0.01118 0.01683
4.416 0.01117 0.01119 0.01683
4.485 0.01117 0.01119 0.01683
4.554 0.01117 0.01119 0.01683
4.623 0.01117 0.01119 0.01683
4.692 0.01117 0.01119 0.01684
4.761 0.01117 0.01119 0.01684
4.83 0.01117 0.01119 0.01684
4.899 0.01117 0.01119 0.01684
4.968 0.01117 0.01119 0.01684
5.037 0.01117 0.01119 0.01684
5.106 0.01117 0.01119 0.01684
5.175 0.01117 0.0112 0.01685
5.244 0.01117 0.0112 0.01685
5.313 0.01117 0.0112 0.01685
5.382 0.01117 0.0112 0.01685
5.451 0.01117 0.0112 0.01685
5.52 0.01117 0.0112 0.01686
5.589 0.01117 0.0112 0.01686
5.658 0.01117 0.0112 0.01686
5.727 0.01117 0.0112 0.01686
5.796 0.01117 0.01121 0.01687
5.865 0.01117 0.01121 0.01687
5.934 0.01117 0.01121 0.01687
6.003 0.01117 0.01121 0.01687
6.072 0.01117 0.01121 0.01688
6.141 0.01117 0.01121 0.01688
6.21 0.01118 0.01121 0.01688
6.279 0.01118 0.01121 0.01689
6.348 0.01118 0.01121 0.01689
6.417 0.01118 0.01122 0.01689
6.486 0.01118 0.01122 0.0169
6.555 0.01118 0.01122 0.0169
6.624 0.01118 0.01122 0.01691
6.693 0.01118 0.01122 0.01691
6.762 0.01118 0.01122 0.01692
6.831 0.01118 0.01122 0.01692
6.9 0.01118 0.01123 0.01693
6.969 0.01119 0.01123 0.01693
7.038 0.01119 0.01123 0.01694
7.107 0.01119 0.01123 0.01694
7.176 0.01119 0.01123 0.01695
7.245 0.01119 0.01123 0.01696
7.314 0.0112 0.01123 0.01696
7.383 0.0112 0.01124 0.01697
7.452 0.0112 0.01124 0.01698
7.521 0.0112 0.01124 0.01699
7.59 0.01121 0.01124 0.017
7.659 0.01121 0.01124 0.017
7.728 0.01122 0.01124 0.01701
7.797 0.01122 0.01124 0.01702
