Reactor-length Temperature-100mlmin Temperature-200mlmin Temperature-400mlmin Temperature-600mlmin Temperature-800mlmin
cm  K K K K K
0 23.75 22.65 21.35 20.75 20.35
0.069 23.75 22.65 21.35 20.75 20.35
0.138 23.85 22.85 21.55 20.85 20.45
0.207 23.95 22.95 21.65 20.95 20.55
0.276 24.15 23.15 21.85 21.15 20.65
0.345 24.25 23.35 22.05 21.25 20.85
0.414 24.35 23.55 22.25 21.45 20.95
0.483 24.45 23.65 22.35 21.55 21.05
0.552 24.55 23.75 22.55 21.75 21.15
0.621 24.65 23.95 22.75 21.85 21.35
0.69 24.75 24.05 22.85 22.05 21.45
0.759 24.85 24.15 23.05 22.15 21.55
0.828 24.95 24.25 23.15 22.35 21.65
0.897 24.95 24.45 23.35 22.45 21.85
0.966 25.05 24.55 23.45 22.55 21.95
1.035 25.15 24.55 23.55 22.75 22.05
1.104 25.15 24.65 23.65 22.85 22.15
1.173 25.25 24.75 23.85 22.95 22.25
1.242 25.35 24.85 23.95 23.05 22.45
1.311 25.35 24.95 24.05 23.15 22.55
1.38 25.45 25.05 24.15 23.25 22.65
1.449 25.45 25.05 24.25 23.35 22.75
1.518 25.55 25.15 24.25 23.45 22.85
1.587 25.55 25.25 24.35 23.55 22.95
1.656 25.65 25.25 24.45 23.65 23.05
1.725 25.75 25.35 24.55 23.75 23.15
1.794 25.75 25.45 24.65 23.85 23.15
1.863 25.85 25.45 24.75 23.95 23.25
1.932 25.85 25.55 24.75 24.05 23.35
2.001 25.95 25.65 24.85 24.15 23.45
2.07 26.05 25.65 24.95 24.15 23.55
2.139 26.05 25.75 25.05 24.25 23.65
2.208 26.15 25.75 25.05 24.35 23.65
2.277 26.15 25.85 25.15 24.45 23.75
2.346 26.25 25.95 25.25 24.55 23.85
2.415 26.35 25.95 25.25 24.55 23.95
2.484 26.35 26.05 25.35 24.65 23.95
2.553 26.45 26.15 25.45 24.75 24.05
2.622 26.55 26.15 25.45 24.75 24.15
2.691 26.55 26.25 25.55 24.85 24.25
2.76 26.65 26.35 25.65 24.95 24.25
2.829 26.75 26.35 25.65 25.05 24.35
2.898 26.75 26.45 25.75 25.05 24.45
2.967 26.85 26.55 25.85 25.15 24.55
3.036 26.95 26.55 25.85 25.25 24.55
3.105 27.05 26.65 25.95 25.25 24.65
3.174 27.05 26.75 26.05 25.35 24.75
3.243 27.15 26.75 26.15 25.45 24.75
3.312 27.25 26.85 26.15 25.55 24.85
3.381 27.35 26.95 26.25 25.55 24.95
3.45 27.35 27.05 26.35 25.65 25.05
3.519 27.45 27.15 26.45 25.75 25.05
3.588 27.55 27.15 26.45 25.75 25.15
3.657 27.65 27.25 26.55 25.85 25.25
3.726 27.75 27.35 26.65 25.95 25.25
3.795 27.85 27.45 26.75 26.05 25.35
3.864 27.95 27.55 26.75 26.05 25.45
3.933 28.05 27.65 26.85 26.15 25.55
4.002 28.15 27.65 26.95 26.25 25.55
4.071 28.15 27.75 27.05 26.35 25.65
4.14 28.25 27.85 27.15 26.35 25.75
4.209 28.35 27.95 27.15 26.45 25.85
4.278 28.45 28.05 27.25 26.55 25.85
4.347 28.55 28.15 27.35 26.65 25.95
4.416 28.75 28.25 27.45 26.75 26.05
4.485 28.85 28.35 27.55 26.85 26.15
4.554 28.95 28.45 27.65 26.85 26.15
4.623 29.05 28.55 27.75 26.95 26.25
4.692 29.15 28.65 27.85 27.05 26.35
4.761 29.25 28.75 27.95 27.15 26.45
4.83 29.35 28.85 28.05 27.25 26.55
4.899 29.45 28.95 28.15 27.35 26.65
4.968 29.65 29.15 28.25 27.45 26.65
5.037 29.75 29.25 28.35 27.55 26.75
5.106 29.85 29.35 28.45 27.65 26.85
5.175 29.95 29.45 28.55 27.65 26.95
5.244 30.15 29.55 28.65 27.75 27.05
5.313 30.25 29.75 28.75 27.85 27.15
5.382 30.35 29.85 28.85 27.95 27.25
5.451 30.55 29.95 28.95 28.05 27.35
5.52 30.65 30.05 29.05 28.25 27.45
5.589 30.75 30.25 29.15 28.35 27.55
5.658 30.95 30.35 29.35 28.45 27.65
5.727 31.05 30.45 29.45 28.55 27.75
5.796 31.25 30.65 29.55 28.65 27.85
5.865 31.35 30.75 29.65 28.75 27.95
5.934 31.55 30.85 29.75 28.85 28.05
6.003 31.65 31.05 29.95 28.95 28.15
6.072 31.85 31.15 30.05 29.05 28.25
6.141 31.95 31.35 30.15 29.25 28.35
6.21 32.15 31.45 30.35 29.35 28.45
6.279 32.35 31.65 30.45 29.45 28.55
6.348 32.45 31.85 30.65 29.55 28.65
