Reactor diameter	Without central rod	With central rod
mm	cm/s	cm/s
0	0	0.0105135521
0.20202	0.652209809	0.551020307
0.40404	1.17736636	1.01618962
0.60606	1.59370136	1.40373381
0.80808	1.9171048	1.72068849
1.0101	2.16238219	1.97506193
1.21212	2.30117962	2.14159228
1.41414	2.3565853	2.24555377
1.61616	2.35300921	2.30988152
1.81818	2.30971631	2.28749104
2.0202	2.18006801	2.27553174
2.22222	1.99697614	2.17126496
2.42424	1.78293232	2.0626517
2.62626	1.57805495	1.93994064
2.82828	1.412783	1.83091965
3.0303	1.27973203	1.7151814
3.23232	1.24120861	1.65358167
3.43434	1.25140762	1.62141994
3.63636	1.33644268	1.57389902
3.83838	1.41211087	1.57948732
4.0404	1.47505011	1.57632325
4.24242	1.52468393	1.58800352
4.44444	1.56366061	1.60200875
4.64646	1.57179106	1.5839437
4.84848	1.5465104	1.57217719
5.0505	1.49409259	1.5329794
5.25252	1.40243229	1.47887683
5.45454	1.28379995	1.38068125
5.65656	1.12208258	1.25766117
5.85858	0.920039043	1.10379187
6.0606	0.674575008	0.865406636
6.26262	0.397859886	0.5702483
6.46464	0.142231921	0.147969311
6.66666	0.0168021463	0.00796719978
6.86868	0.0315318059	0.00726476064
7.0707	0.224878266	0.0109840767
7.27272	0.494726608	0.234183786
7.47474	0.744800083	0.496058585
7.67676	0.953711197	0.636246288
7.87878	1.13664931	0.702328235
8.0808	1.30019039	0.659571961
8.28282	1.45491716	0.544878235
8.48484	1.60427224	0.310628419
8.68686	1.74285993	0.00383032166
8.88888	1.87418535	0.00380222664
9.0909	1.9918615	0.00379737903
9.29292	2.09250525	0.00379730154
9.49494	2.18168218	0
9.69696	2.24499591	0
9.89897999999999	2.28866991	0
10.101	2.31107045	0
10.30302	2.30497867	0
10.50504	2.29722466	0
10.70706	2.24852953	0
10.90908	2.18084734	0
11.1111	2.10011639	0
11.31312	2.00889334	0
11.51514	1.88424215	0.00403817794
11.71716	1.74182002	0.00669905639
11.91918	1.588591	0.00464966179
12.1212	1.41009018	0.00303430461
12.32322	1.24172578	0.00218437981
12.52524	1.05665419	0.0963728235
12.72726	0.89404434	0.34169287
12.92928	0.77230311	0.527158426
13.1313	0.725913094	0.676506292
13.33332	0.734947715	0.822116528
13.53534	0.824881904	0.964330882
13.73736	0.929283071	1.1023785
13.93938	1.02236997	1.23945195
14.1414	1.10083232	1.39065674
14.34342	1.16517656	1.52883204
14.54544	1.20212799	1.67023279
14.74746	1.20494273	1.79230012
14.94948	1.18200053	1.90772284
15.1515	1.13177914	2.00525466
15.35352	1.05606141	2.09909622
15.55554	0.950020272	2.18455903
15.75756	0.842506438	2.25434452
15.95958	0.720022107	2.31714956
16.1616	0.598301739	2.38424018
16.36362	0.513461884	2.44052745
16.56564	0.527056726	2.49935351
16.76766	0.638824701	2.5517365
16.96968	0.813382026	2.59902272
17.1717	1.02957767	2.63889022
17.37372	1.27505902	2.68779993
17.57574	1.49015794	2.71328539
17.77776	1.72515921	2.72089671
17.97978	1.89890303	2.71899309
18.1818	2.01947372	2.62274444
18.38382	2.0864429	2.54978482
18.58584	2.09323671	2.44169943
18.78786	2.04434302	2.26036385
18.98988	1.91728529	2.01643109
19.1919	1.72099862	1.72534138
19.39392	1.44170253	1.37587683
19.59594	1.06964419	0.96697947
19.79796	0.602004863	0.503033865
19.99998	0	0.00814629821
