B.E. Mn3s
99.38 547.95047
99.28 591.4304
99.18 533.8682
99.08 602.2997
98.98 458.2244
98.88 602.4252
98.78 596.0202
98.68 499.9564
98.58 554.18987
98.48 556.60662
98.38 610.1827
98.28 518.6983
98.18 572.429
98.08 590.4932
97.98 579.2432
97.88 502.5221
97.78 590.7771
97.68 588.3963
97.58 504.8507
97.48 555.13432
97.38 588.5889
97.28 559.46387
97.18 524.2956
97.08 585.5064
96.98 565.5396
96.88 486.5944
96.78 601.1732
96.68 561.3857
96.58 536.3659
96.48 563.2938
96.38 543.15186
96.28 602.419
96.18 528.85
96.08 633.8394
95.98 538.4205
95.88 515.5646
95.78 562.5749
95.68 548.85149
95.58 577.346
95.48 600.2725
95.38 619.7503
95.28 639.8243
95.18 589.3611
95.08 536.4932
94.98 575.9686
94.88 581.6719
94.78 643.7688
94.68 581.981
94.58 650.598
94.48 545.6055
94.38 509.3817
94.28 548.96422
94.18 602.4455
94.08 542.97842
93.98 559.81509
93.88 594.1115
93.78 544.97702
93.68 655.299
93.58 624.9013
93.48 656.429
93.38 566.4143
93.28 636.9171
93.18 597.8911
93.08 597.8043
92.98 556.36017
92.88 570.9724
92.78 613.4469
92.68 561.4198
92.58 544.36619
92.48 544.09023
92.38 616.9591
92.28 559.12076
92.18 580.3874
92.08 626.6921
91.98 593.2359
91.88 630.4274
91.78 621.9851
91.68 618.0517
91.58 614.1452
91.48 661.865
91.38 592.7198
91.28 637.6771
91.18 608.9831
91.08 611.9936
90.98 641.1966
90.88 655.175
90.78 712.934
90.68 657.342
90.58 674.036
90.48 647.8105
90.38 601.5963
90.28 652.175
90.18 627.2475
90.08 672.43
89.98 652.123
89.88 654.466
89.78 643.7432
89.68 629.1161
89.58 579.4596
89.48 639.2086
89.38 604.3359
89.28 630.3961
89.18 666.745
89.08 628.1185
88.98 623.2852
88.88 582.6582
88.78 618.9948
88.68 636.0449
88.58 597.3078
88.48 615.4184
88.38 628.468
88.28 576.0566
88.18 510.6473
88.08 544.2347
87.98 613.1276
87.88 600.3462
87.78 604.6704
87.68 571.5623
87.58 601.8378
87.48 592.3448
87.38 532.8491
87.28 538.7159
87.18 580.8911
87.08 585.4276
86.98 511.7327
86.88 600.5545
86.78 624.5978
86.68 604.9085
86.58 650.635
86.48 586.8839
86.38 587.1982
86.28 633.1484
86.18 563.38
86.08 615.8025
85.98 651.445
85.88 685.189
85.78 603.6312
85.68 597.0515
85.58 685.162
85.48 634.7593
85.38 641.4349
85.28 684.746
85.18 693.448
85.08 721.752
84.98 701.528
84.88 703.684
84.78 689.681
84.68 713.941
84.58 820.519
