Reactor-diameter 100-mlmin 200-mlmin 400mlmin
cm cms cms cms
0 0 0 0
0.20202 0.652209809 1.10526951 2.0810049
0.40404 1.17736636 2.02352982 3.82961519
0.60606 1.59370136 2.7732905 5.2698873
0.80808 1.9171048 3.37263197 6.42849505
1.0101 2.16238219 3.8411852 7.3380962
1.21212 2.30117962 4.12291624 7.88533837
1.41414 2.3565853 4.25240956 8.13584179
1.61616 2.35300921 4.27727886 8.18598568
1.81818 2.30971631 4.22302075 8.0775097
2.0202 2.18006801 4.00268473 7.64189288
2.22222 1.99697614 3.68227512 7.01793283
2.42424 1.78293232 3.30269858 6.28323704
2.62626 1.57805495 2.94508729 5.60314432
2.82828 1.412783 2.6659051 5.08818217
3.0303 1.27973203 2.44265888 4.68341559
3.23232 1.24120861 2.3901416 4.60812598
3.43434 1.25140762 2.41423119 4.67239693
3.63636 1.33644268 2.57423222 4.99669947
3.83838 1.41211087 2.70701423 5.26071377
4.0404 1.47505011 2.81779524 5.4839462
4.24242 1.52468393 2.90084779 5.64953983
4.44444 1.56366061 2.96838693 5.7873074
4.64646 1.57179106 2.98292655 5.8266528
4.84848 1.5465104 2.93648429 5.74871488
5.0505 1.49409259 2.84916945 5.59985675
5.25252 1.40243229 2.68829279 5.30601628
5.45454 1.28379995 2.47781947 4.91508208
5.65656 1.12208258 2.18878798 4.37312759
5.85858 0.920039043 1.83052588 3.6998149
6.0606 0.674575008 1.38074746 2.83541605
6.26262 0.397859886 0.85206423 1.79053843
6.46464 0.142231921 0.325349462 0.709198508
6.66666 0.0168021463 0.0335183518 0.0770393061
6.86868 0.0315318059 0.040217035 0.0588743307
7.0707 0.224878266 0.348138064 0.60075731
7.27272 0.494726608 0.81718443 1.47887915
7.47474 0.744800083 1.27026839 2.34784335
7.67676 0.953711197 1.66389216 3.12225297
7.87878 1.13664931 2.0187784 3.83105762
8.0808 1.30019039 2.34445613 4.48974706
8.28282 1.45491716 2.65752077 5.12643531
8.48484 1.60427224 2.96341758 5.7502985
8.68686 1.74285993 3.24795321 6.33032769
8.88888 1.87418535 3.51912938 6.88351467
9.0909 1.9918615 3.76596227 7.39010572
9.29292 2.09250525 3.97935659 7.83060864
9.49494 2.18168218 4.1694127 8.22324157
9.69696 2.24499591 4.30446714 8.50152299
9.89897999999999 2.28866991 4.40721512 8.72295871
10.101 2.31107045 4.46326211 8.84590819
10.30302 2.30497867 4.46482562 8.86242688
10.50504 2.29722466 4.46376503 8.87434408
10.70706 2.24852953 4.38068323 8.72191191
10.90908 2.18084734 4.25744317 8.48798305
11.1111 2.10011639 4.10976894 8.20674822
11.31312 2.00889334 3.94066647 7.88169429
11.51514 1.88424215 3.7018843 7.41499215
11.71716 1.74182002 3.42740752 6.87684342
11.91918 1.588591 3.12771834 6.28472418
12.1212 1.41009018 2.77618952 5.58759421
12.32322 1.24172578 2.4344638 4.90082018
12.52524 1.05665419 2.05317102 4.12811227
12.72726 0.89404434 1.70486867 3.40979695
12.92928 0.77230311 1.42385326 2.80989278
13.1313 0.725913094 1.28875235 2.49182489
13.33332 0.734947715 1.27490917 2.42181271
13.53534 0.824881904 1.43386396 2.71201748
13.73736 0.929283071 1.62619073 3.07694431
13.93938 1.02236997 1.80355757 3.42056267
14.1414 1.10083232 1.95096601 3.70485373
14.34342 1.16517656 2.07480341 3.94631326
14.54544 1.20212799 2.14708764 4.0881969
14.74746 1.20494273 2.15501916 4.1030705
14.94948 1.18200053 2.11594105 4.02817428
15.1515 1.13177914 2.02697758 3.85763422
15.35352 1.05606141 1.89283602 3.6017254
15.55554 0.950020272 1.70054119 3.23131867
15.75756 0.842506438 1.52106164 2.90439818
15.95958 0.720022107 1.31827686 2.53630001
16.1616 0.598301739 1.12338299 2.18359642
16.36362 0.513461884 1.00483075 1.97837818
16.56564 0.527056726 1.05989799 2.08373517
16.76766 0.638824701 1.26661751 2.45691109
16.96968 0.813382026 1.57477744 3.02146003
17.1717 1.02957767 1.95790287 3.7355829
17.37372 1.27505902 2.40358785 4.59092334
17.57574 1.49015794 2.79081259 5.3380128
17.77776 1.72515921 3.22786123 6.20446615
17.97978 1.89890303 3.54452357 6.83776662
18.1818 2.01947372 3.75908129 7.27413744
18.38382 2.0864429 3.86546217 7.49100074
18.58584 2.09323671 3.8568262 7.47908652
18.78786 2.04434302 3.74182165 7.25707635
18.98988 1.91728529 3.48051526 6.74208626
19.1919 1.72099862 3.0938575 5.9791822
19.39392 1.44170253 2.56346595 4.93785329
19.59594 1.06964419 1.8791765 3.60477082
19.79796 0.602004863 1.04248896 1.98882949
19.99998 0 0 0
