B.E. Mn3s
99.88 46.767
99.78 -6.0606
99.68 44.2315
99.58 -46.0929
99.48 -11.2621
99.38 2.53074
99.28 -21.8344
99.18 15.4317
99.08 32.2019
98.98 3.93271
98.88 -35.827
98.78 36.1651
98.68 0.301534
98.58 -47.7159
98.48 42.2242
98.38 -8.01597
98.28 5.35473
98.18 -23.7152
98.08 62.5535
97.98 63.0641
97.88 -21.1899
97.78 64.6431
97.68 59.3712
97.58 9.9812
97.48 20.1711
97.38 33.9662
97.28 -11.2988
97.18 14.8941
97.08 86.5683
96.98 26.878
96.88 16.8111
96.78 -17.0347
96.68 -38.1248
96.58 15.2712
96.48 21.6646
96.38 28.1655
96.28 44.5158
96.18 8.06868
96.08 40.2404
95.98 30.7307
95.88 9.59996
95.78 44.3697
95.68 75.1819
95.58 38.1883
95.48 55.4603
95.38 73.4271
95.28 6.33154
95.18 32.8331
95.08 81.1157
94.98 39.9051
94.88 -1.76493
94.78 -25.2814
94.68 4.06577
94.58 15.0965
94.48 6.11737
94.38 54.9594
94.28 96.4502
94.18 15.7947
94.08 -1.12133
93.98 -33.4424
93.88 45.7022
93.78 60.2847
93.68 26.0791
93.58 45.9128
93.48 22.8088
93.38 23.7839
93.28 34.0029
93.18 57.2548
93.08 42.2395
92.98 55.401
92.88 66.5343
92.78 45.6638
92.68 57.0185
92.58 71.0616
92.48 42.7338
92.38 123.284
92.28 42.2346
92.18 20.4484
92.08 88.9327
91.98 88.1148
91.88 96.6253
91.78 119.811
91.68 99.9401
91.58 123.313
91.48 134.461
91.38 153.916
91.28 173.976
91.18 159.621
91.08 112.19
90.98 184.047
90.88 133.49
90.78 138.595
90.68 151.847
90.58 164.714
90.48 140.012
90.38 176.92
90.28 143.678
90.18 103.542
90.08 138.058
89.98 160.766
89.88 138.441
89.78 134.246
89.68 124.68
89.58 157.903
89.48 77.3326
89.38 70.7862
89.28 34.9761
89.18 34.939
89.08 94.1341
88.98 -5.69043
88.88 65.3512
88.78 67.4357
88.68 109.781
88.58 10.9711
88.48 19.2635
88.38 -1.54351
88.28 53.1964
88.18 19.8527
88.08 16.2525
87.98 40.5491
87.88 -31.734
87.78 -15.8195
87.68 30.9226
87.58 29.1225
87.48 -12.2931
87.38 -5.80752
87.28 57.2276
87.18 42.4389
87.08 38.4647
86.98 27.9771
86.88 -4.19684
86.78 15.6131
86.68 30.1175
86.58 130.479
86.48 107.17
86.38 47.3696
86.28 110.412
86.18 113.489
86.08 187.807
85.98 168.078
85.88 204.111
85.78 79.5762
85.68 115.803
85.58 201.32
85.48 249.22
85.38 247.871
85.28 209.475
85.18 255.878
85.08 287.54
84.98 289.24
84.88 294.259
84.78 318.2
84.68 312.233
84.58 269.454
84.48 240.119
84.38 286.598
84.28 281.474
84.18 280.926
84.08 285.223
83.98 227.92
83.88 205.711
83.78 153.78
83.68 189.457
83.58 194.081
83.48 163.17
83.38 174.759
83.28 118.283
83.18 111.923
83.08 135.823
82.98 113.129
82.88 97.0397
82.78 107.513
82.68 85.2932
82.58 119.417
82.48 117.812
82.38 71.5247
82.28 76.5048
82.18 54.6566
82.08 29.7705
81.98 -1.04576
81.88 12.1277
81.78 -1.46063
81.68 10.0605
81.58 81.8425
81.48 -0.683247
81.38 36.8884
81.28 -22.3999
81.18 -6.96155
81.08 6.91966
80.98 37.175
80.88 -15.036
80.78 42.4673
80.68 9.51138
80.58 41.4829
80.48 115.921
80.38 55.0991
80.28 41.6278
80.18 19.7722
80.08 2.9721
79.98 25.8851
79.88 52.9568
79.78 56.4347
79.68 30.7905
79.58 7.65476
79.48 62.2025
79.38 12.3607
79.28 -1.09964
79.18 -39.0371
79.08 17.3652
78.98 1.85197
78.88 13.2254
78.78 22.4639
78.68 38.8619
78.58 28.5461
78.48 14.2017
78.38 30.4739
78.28 32.2578
78.18 69.3609
78.08 11.4827
77.98 -7.94126
77.88 -3.76616
77.78 -1.54837
77.68 -29.842
77.58 29.2399
77.48 44.3688
77.38 28.8649
77.28 -44.5197
77.18 15.133
77.08 5.01208
76.98 -37.4509
76.88 75.7505
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
